County;Year;Population;Primary County Coordinates
Ringgold;2006;5101;(40.735, -94.244)
Calhoun;2006;10101;(42.385, -94.64)
Poweshiek;2006;18615;(41.686, -92.531)
Washington;2006;21100;(41.336, -91.718)
Iowa;2006;15932;(41.686, -92.066)
Grundy;2006;12227;(42.402, -92.791)
Pottawattamie;2006;89393;(41.337, -95.542)
Cherokee;2006;11791;(42.736, -95.624)
Winnebago;2006;10943;(43.378, -93.734)
Adair;2006;7677;(41.331, -94.471)
Jackson;2006;19988;(42.172, -90.574)
Clarke;2006;9074;(41.029, -93.785)
Greene;2006;9568;(42.036, -94.397)
Polk;2006;409146;(41.686, -93.574)
Butler;2006;14632;(42.732, -92.79)
Pocahontas;2006;7638;(42.734, -94.679)
Jasper;2006;36735;(41.686, -93.054)
Dickinson;2006;16621;(43.378, -95.151)
Woodbury;2006;101427;(42.39, -96.045)
Plymouth;2006;24460;(42.738, -96.214)
Audubon;2006;6179;(41.685, -94.906)
Boone;2006;26246;(42.037, -93.932)
Worth;2006;7618;(43.377, -93.261)
Jefferson;2006;15491;(41.032, -91.949)
Palo Alto;2006;9438;(43.082, -94.678)
Page;2006;16043;(40.739, -95.15)
Dallas;2006;54592;(41.685, -94.04)
Crawford;2006;16486;(42.037, -95.382)
Johnson;2006;123171;(41.672, -91.588)
Osceola;2006;6571;(43.379, -95.624)
O'Brien;2006;14191;(43.084, -95.625)
Guthrie;2006;11093;(41.684, -94.501)
Jones;2006;20324;(42.121, -91.131)
Floyd;2006;16335;(43.06, -92.789)
Muscatine;2006;42226;(41.484, -91.113)
Montgomery;2006;11135;(41.03, -95.156)
Buchanan;2006;20875;(42.471, -91.838)
Keokuk;2006;10727;(41.336, -92.179)
Emmet;2006;10371;(43.378, -94.678)
Monroe;2006;7643;(41.03, -92.869)
Wright;2006;13187;(42.733, -93.735)
Kossuth;2006;15664;(43.204, -94.207)
Benton;2006;26571;(42.08, -92.066)
Webster;2006;38550;(42.428, -94.182)
Clayton;2006;17779;(42.845, -91.341)
Cass;2006;13912;(41.331, -94.928)
Monona;2006;9223;(42.052, -95.96)
Lee;2006;35997;(40.642, -91.479)
Clayton;2005;17853;(42.845, -91.341)
Grundy;2005;12232;(42.402, -92.791)
Warren;2005;42923;(41.334, -93.561)
Guthrie;2005;11201;(41.684, -94.501)
Hamilton;2005;15914;(42.384, -93.707)
Hancock;2005;11626;(43.082, -93.734)
Buena Vista;2005;19713;(42.735, -95.151)
Hardin;2005;17768;(42.384, -93.24)
Harrison;2005;15520;(41.683, -95.817)
Butler;2005;14712;(42.732, -92.79)
Henry;2005;20166;(40.988, -91.545)
Howard;2005;9620;(43.357, -92.317)
Emmet;2005;10468;(43.378, -94.678)
Humboldt;2005;9801;(42.776, -94.207)
Allamakee;2005;14419;(43.284, -91.378)
Ida;2005;7169;(42.387, -95.513)
Iowa;2005;15911;(41.686, -92.066)
Crawford;2005;16591;(42.037, -95.382)
Washington;2005;21037;(41.336, -91.718)
Jackson;2005;20035;(42.172, -90.574)
Clay;2005;16784;(43.083, -95.151)
Jasper;2005;37011;(41.686, -93.054)
Black Hawk;2005;126235;(42.47, -92.309)
Jefferson;2005;15553;(41.032, -91.949)
Johnson;2005;121191;(41.672, -91.588)
Clarke;2005;9076;(41.029, -93.785)
Cerro Gordo;2005;44321;(43.082, -93.261)
Jones;2005;20303;(42.121, -91.131)
Wright;2005;13377;(42.733, -93.735)
Keokuk;2005;10893;(41.336, -92.179)
Cass;2005;13918;(41.331, -94.928)
Kossuth;2005;15956;(43.204, -94.207)
Benton;2005;26643;(42.08, -92.066)
Lee;2005;36109;(40.642, -91.479)
Linn;2005;200114;(42.079, -91.599)
Louisa;2005;11775;(41.219, -91.26)
Calhoun;2005;10247;(42.385, -94.64)
Wayne;2005;6422;(40.739, -93.327)
Lucas;2005;9588;(41.029, -93.328)
Bremer;2005;23394;(42.775, -92.318)
Lyon;2005;11449;(43.38, -96.21)
Madison;2005;14864;(41.331, -94.016)
Mahaska;2005;22220;(41.335, -92.641)
Marion;2005;32310;(41.334, -93.099)
Marshall;2005;39020;(42.036, -92.999)
Mills;2005;14846;(41.033, -95.621)
Woodbury;2005;101211;(42.39, -96.045)
Mitchell;2005;10784;(43.356, -92.789)
Buchanan;2005;20760;(42.471, -91.838)
Monona;2005;9344;(42.052, -95.96)
Davis;2005;8507;(40.748, -92.41)
Monroe;2005;7728;(41.03, -92.869)
Franklin;2005;10664;(42.733, -93.262)
Webster;2005;38574;(42.428, -94.182)
Montgomery;2005;11177;(41.03, -95.156)
Muscatine;2005;41952;(41.484, -91.113)
O'Brien;2005;14257;(43.084, -95.625)
Appanoose;2005;13315;(40.743, -92.869)
Osceola;2005;6621;(43.379, -95.624)
Page;2005;16002;(40.739, -95.15)
Boone;2005;26311;(42.037, -93.932)
Worth;2005;7715;(43.377, -93.261)
Palo Alto;2005;9569;(43.082, -94.678)
Plymouth;2005;24545;(42.738, -96.214)
Chickasaw;2005;12268;(43.06, -92.318)
Pocahontas;2005;7793;(42.734, -94.679)
Greene;2005;9778;(42.036, -94.397)
Polk;2005;401993;(41.686, -93.574)
Pottawattamie;2005;88960;(41.337, -95.542)
Winnebago;2005;11167;(43.378, -93.734)
Poweshiek;2005;18625;(41.686, -92.531)
Ringgold;2005;5191;(40.735, -94.244)
Sac;2005;10528;(42.386, -95.105)
Scott;2005;160073;(41.637, -90.623)
Adams;2005;4159;(41.029, -94.699)
Shelby;2005;12408;(41.685, -95.31)
Floyd;2005;16309;(43.06, -92.789)
Sioux;2005;31905;(43.083, -96.178)
Decatur;2005;8460;(40.738, -93.786)
Story;2005;81757;(42.036, -93.465)
Cedar;2005;17933;(41.772, -91.132)
Tama;2005;17897;(42.08, -92.533)
Taylor;2005;6522;(40.737, -94.696)
Union;2005;11943;(41.028, -94.242)
Fayette;2005;20939;(42.863, -91.844)
Winneshiek;2005;20871;(43.291, -91.844)
Van Buren;2005;7625;(40.753, -91.95)
Wapello;2005;35771;(41.031, -92.409)
Dickinson;2005;16608;(43.378, -95.151)
Fremont;2005;7553;(40.746, -95.605)
Clinton;2005;49299;(41.898, -90.532)
Des Moines;2005;40553;(40.923, -91.181)
Adair;2005;7721;(41.331, -94.471)
Delaware;2005;17619;(42.471, -91.367)
Dubuque;2005;90926;(42.469, -90.882)
Cherokee;2005;12021;(42.736, -95.624)
Carroll;2005;20911;(42.036, -94.861)
Audubon;2005;6251;(41.685, -94.906)
Dallas;2005;51779;(41.685, -94.04)
Fremont;2004;7604;(40.746, -95.605)
Webster;2004;38930;(42.428, -94.182)
Clayton;2004;18026;(42.845, -91.341)
Louisa;2004;12048;(41.219, -91.26)
Tama;2004;17929;(42.08, -92.533)
Cherokee;2004;12210;(42.736, -95.624)
Polk;2004;393899;(41.686, -93.574)
Des Moines;2004;40742;(40.923, -91.181)
Crawford;2004;16675;(42.037, -95.382)
Marshall;2004;39227;(42.036, -92.999)
Jackson;2004;20078;(42.172, -90.574)
Buena Vista;2004;19800;(42.735, -95.151)
Bremer;2004;23369;(42.775, -92.318)
Harrison;2004;15542;(41.683, -95.817)
Muscatine;2004;41806;(41.484, -91.113)
Pottawattamie;2004;88781;(41.337, -95.542)
Guthrie;2004;11350;(41.684, -94.501)
Story;2004;81897;(42.036, -93.465)
Allamakee;2004;14371;(43.284, -91.378)
Lucas;2004;9619;(41.029, -93.328)
Dallas;2004;49388;(41.685, -94.04)
Iowa;2004;15801;(41.686, -92.066)
Dickinson;2004;16478;(43.378, -95.151)
Adams;2004;4256;(41.029, -94.699)
Poweshiek;2004;18794;(41.686, -92.531)
Marion;2004;32256;(41.334, -93.099)
Sioux;2004;31866;(43.083, -96.178)
Chickasaw;2004;12436;(43.06, -92.318)
Henry;2004;20073;(40.988, -91.545)
Winnebago;2004;11189;(43.378, -93.734)
Jones;2004;20365;(42.121, -91.131)
Ida;2004;7295;(42.387, -95.513)
Lee;2004;36385;(40.642, -91.479)
Ringgold;2004;5246;(40.735, -94.244)
Wright;2004;13537;(42.733, -93.735)
Shelby;2004;12647;(41.685, -95.31)
Cass;2004;14078;(41.331, -94.928)
Black Hawk;2004;126077;(42.47, -92.309)
Franklin;2004;10641;(42.733, -93.262)
Kossuth;2004;16156;(43.204, -94.207)
Howard;2004;9679;(43.357, -92.317)
O'Brien;2004;14345;(43.084, -95.625)
Emmet;2004;10508;(43.378, -94.678)
Sac;2004;10717;(42.386, -95.105)
Buchanan;2004;20852;(42.471, -91.838)
Decatur;2004;8454;(40.738, -93.786)
Humboldt;2004;9935;(42.776, -94.207)
Scott;2004;159323;(41.637, -90.623)
Adair;2004;7847;(41.331, -94.471)
Fayette;2004;21024;(42.863, -91.844)
Cedar;2004;18030;(41.772, -91.132)
Wayne;2004;6501;(40.739, -93.327)
Mahaska;2004;22060;(41.335, -92.641)
Monroe;2004;7784;(41.03, -92.869)
Lyon;2004;11512;(43.38, -96.21)
Osceola;2004;6763;(43.379, -95.624)
Monona;2004;9511;(42.052, -95.96)
Madison;2004;14689;(41.331, -94.016)
Mills;2004;14695;(41.033, -95.621)
Johnson;2004;119747;(41.672, -91.588)
Davis;2004;8555;(40.748, -92.41)
Worth;2004;7708;(43.377, -93.261)
Warren;2004;42263;(41.334, -93.561)
Hamilton;2004;16007;(42.384, -93.707)
Woodbury;2004;102330;(42.39, -96.045)
Page;2004;16001;(40.739, -95.15)
Delaware;2004;17797;(42.471, -91.367)
Calhoun;2004;10388;(42.385, -94.64)
Wapello;2004;35651;(41.031, -92.409)
Audubon;2004;6378;(41.685, -94.906)
Appanoose;2004;13355;(40.743, -92.869)
Keokuk;2004;11073;(41.336, -92.179)
Benton;2004;26493;(42.08, -92.066)
Jefferson;2004;15684;(41.032, -91.949)
Winneshiek;2004;20894;(43.291, -91.844)
Palo Alto;2004;9648;(43.082, -94.678)
Greene;2004;9928;(42.036, -94.397)
Van Buren;2004;7664;(40.753, -91.95)
Clinton;2004;49380;(41.898, -90.532)
Butler;2004;14782;(42.732, -92.79)
Hancock;2004;11670;(43.082, -93.734)
Montgomery;2004;11162;(41.03, -95.156)
Mitchell;2004;10891;(43.356, -92.789)
Carroll;2004;20888;(42.036, -94.861)
Grundy;2004;12245;(42.402, -92.791)
Plymouth;2004;24687;(42.738, -96.214)
Linn;2004;198108;(42.079, -91.599)
Union;2004;11919;(41.028, -94.242)
Boone;2004;26224;(42.037, -93.932)
Cerro Gordo;2004;44654;(43.082, -93.261)
Clay;2004;16916;(43.083, -95.151)
Dubuque;2004;90618;(42.469, -90.882)
Jasper;2004;37256;(41.686, -93.054)
Washington;2004;21011;(41.336, -91.718)
Hardin;2004;18002;(42.384, -93.24)
Pocahontas;2004;7970;(42.734, -94.679)
Floyd;2004;16417;(43.06, -92.789)
Taylor;2004;6677;(40.737, -94.696)
Clarke;2004;9221;(41.029, -93.785)
Clarke;2003;9211;(41.029, -93.785)
Lee;2003;36472;(40.642, -91.479)
Guthrie;2003;11310;(41.684, -94.501)
Monona;2003;9682;(42.052, -95.96)
Kossuth;2003;16294;(43.204, -94.207)
Monroe;2003;7812;(41.03, -92.869)
Keokuk;2003;11194;(41.336, -92.179)
Montgomery;2003;11188;(41.03, -95.156)
Jones;2003;20212;(42.121, -91.131)
Muscatine;2003;41680;(41.484, -91.113)
Emmet;2003;10684;(43.378, -94.678)
Webster;2003;39372;(42.428, -94.182)
Adair;2003;7916;(41.331, -94.471)
O'Brien;2003;14589;(43.084, -95.625)
Fayette;2003;21299;(42.863, -91.844)
Johnson;2003;117459;(41.672, -91.588)
Osceola;2003;6811;(43.379, -95.624)
Bremer;2003;23273;(42.775, -92.318)
Clayton;2003;18107;(42.845, -91.341)
Delaware;2003;17977;(42.471, -91.367)
Page;2003;16166;(40.739, -95.15)
Boone;2003;26123;(42.037, -93.932)
Grundy;2003;12241;(42.402, -92.791)
Jefferson;2003;15721;(41.032, -91.949)
Palo Alto;2003;9664;(43.082, -94.678)
Washington;2003;20994;(41.336, -91.718)
Clinton;2003;49487;(41.898, -90.532)
Plymouth;2003;24584;(42.738, -96.214)
Audubon;2003;6438;(41.685, -94.906)
Jasper;2003;37400;(41.686, -93.054)
Pocahontas;2003;8143;(42.734, -94.679)
Calhoun;2003;10522;(42.385, -94.64)
Butler;2003;14782;(42.732, -92.79)
Polk;2003;390092;(41.686, -93.574)
Jackson;2003;20098;(42.172, -90.574)
Black Hawk;2003;126026;(42.47, -92.309)
Pottawattamie;2003;88055;(41.337, -95.542)
Iowa;2003;15827;(41.686, -92.066)
Buchanan;2003;20778;(42.471, -91.838)
Poweshiek;2003;18806;(41.686, -92.531)
Ida;2003;7445;(42.387, -95.513)
Cherokee;2003;12347;(42.736, -95.624)
Ringgold;2003;5263;(40.735, -94.244)
Benton;2003;26176;(42.08, -92.066)
Winnebago;2003;11303;(43.378, -93.734)
Humboldt;2003;10014;(42.776, -94.207)
Franklin;2003;10588;(42.733, -93.262)
Sac;2003;10848;(42.386, -95.105)
Des Moines;2003;41152;(40.923, -91.181)
Howard;2003;9713;(43.357, -92.317)
Scott;2003;158808;(41.637, -90.623)
Wright;2003;13624;(42.733, -93.735)
Clay;2003;16957;(43.083, -95.151)
Shelby;2003;12747;(41.685, -95.31)
Henry;2003;20105;(40.988, -91.545)
Sioux;2003;31782;(43.083, -96.178)
Cerro Gordo;2003;45142;(43.082, -93.261)
Woodbury;2003;102441;(42.39, -96.045)
Story;2003;81453;(42.036, -93.465)
Appanoose;2003;13452;(40.743, -92.869)
Crawford;2003;16752;(42.037, -95.382)
Harrison;2003;15544;(41.683, -95.817)
Tama;2003;17846;(42.08, -92.533)
Dallas;2003;46308;(41.685, -94.04)
Hardin;2003;18213;(42.384, -93.24)
Taylor;2003;6737;(40.737, -94.696)
Chickasaw;2003;12550;(43.06, -92.318)
Greene;2003;10000;(42.036, -94.397)
Union;2003;11881;(41.028, -94.242)
Dubuque;2003;90116;(42.469, -90.882)
Hancock;2003;11771;(43.082, -93.734)
Warren;2003;41943;(41.334, -93.561)
Van Buren;2003;7671;(40.753, -91.95)
Adams;2003;4321;(41.029, -94.699)
Decatur;2003;8469;(40.738, -93.786)
Hamilton;2003;16151;(42.384, -93.707)
Wapello;2003;35716;(41.031, -92.409)
Cedar;2003;18058;(41.772, -91.132)
Winneshiek;2003;20896;(43.291, -91.844)
Buena Vista;2003;19990;(42.735, -95.151)
Wayne;2003;6568;(40.739, -93.327)
Davis;2003;8494;(40.748, -92.41)
Madison;2003;14454;(41.331, -94.016)
Cass;2003;14228;(41.331, -94.928)
Allamakee;2003;14371;(43.284, -91.378)
Lyon;2003;11559;(43.38, -96.21)
Carroll;2003;20984;(42.036, -94.861)
Mahaska;2003;22021;(41.335, -92.641)
Fremont;2003;7704;(40.746, -95.605)
Dickinson;2003;16318;(43.378, -95.151)
Marion;2003;32277;(41.334, -93.099)
Lucas;2003;9473;(41.029, -93.328)
Louisa;2003;12175;(41.219, -91.26)
Marshall;2003;39033;(42.036, -92.999)
Worth;2003;7719;(43.377, -93.261)
Linn;2003;196706;(42.079, -91.599)
Mills;2003;14596;(41.033, -95.621)
Floyd;2003;16511;(43.06, -92.789)
Mitchell;2003;10826;(43.356, -92.789)
Lucas;2002;9438;(41.029, -93.328)
Greene;2002;10092;(42.036, -94.397)
Pocahontas;2002;8336;(42.734, -94.679)
Keokuk;2002;11341;(41.336, -92.179)
Taylor;2002;6810;(40.737, -94.696)
Des Moines;2002;41307;(40.923, -91.181)
Butler;2002;14826;(42.732, -92.79)
Warren;2002;41282;(41.334, -93.561)
Fayette;2002;21424;(42.863, -91.844)
Cherokee;2002;12530;(42.736, -95.624)
Hancock;2002;11760;(43.082, -93.734)
Kossuth;2002;16499;(43.204, -94.207)
Plymouth;2002;24552;(42.738, -96.214)
Marion;2002;32412;(41.334, -93.099)
Union;2002;12083;(41.028, -94.242)
Buchanan;2002;20761;(42.471, -91.838)
Black Hawk;2002;126628;(42.47, -92.309)
Muscatine;2002;41803;(41.484, -91.113)
Jasper;2002;37366;(41.686, -93.054)
Decatur;2002;8543;(40.738, -93.786)
Worth;2002;7794;(43.377, -93.261)
Bremer;2002;23202;(42.775, -92.318)
Palo Alto;2002;9843;(43.082, -94.678)
Louisa;2002;12195;(41.219, -91.26)
Van Buren;2002;7736;(40.753, -91.95)
Mitchell;2002;10826;(43.356, -92.789)
Cass;2002;14214;(41.331, -94.928)
Boone;2002;26032;(42.037, -93.932)
Adams;2002;4350;(41.029, -94.699)
Hamilton;2002;16204;(42.384, -93.707)
Grundy;2002;12303;(42.402, -92.791)
Fremont;2002;7766;(40.746, -95.605)
Jefferson;2002;15806;(41.032, -91.949)
Lee;2002;36858;(40.642, -91.479)
Wapello;2002;35803;(41.031, -92.409)
Delaware;2002;18123;(42.471, -91.367)
Page;2002;16425;(40.739, -95.15)
Marshall;2002;39033;(42.036, -92.999)
Jones;2002;20150;(42.121, -91.131)
Adair;2002;7964;(41.331, -94.471)
Washington;2002;20982;(41.336, -91.718)
Linn;2002;195918;(42.079, -91.599)
Davis;2002;8565;(40.748, -92.41)
Guthrie;2002;11214;(41.684, -94.501)
Lyon;2002;11581;(43.38, -96.21)
Franklin;2002;10636;(42.733, -93.262)
Osceola;2002;6849;(43.379, -95.624)
Monona;2002;9705;(42.052, -95.96)
Madison;2002;14315;(41.331, -94.016)
Winnebago;2002;11329;(43.378, -93.734)
Howard;2002;9794;(43.357, -92.317)
Clinton;2002;49614;(41.898, -90.532)
Clay;2002;17071;(43.083, -95.151)
Winneshiek;2002;21123;(43.291, -91.844)
Montgomery;2002;11300;(41.03, -95.156)
Scott;2002;158677;(41.637, -90.623)
Sac;2002;11040;(42.386, -95.105)
Floyd;2002;16589;(43.06, -92.789)
Humboldt;2002;10073;(42.776, -94.207)
Benton;2002;25991;(42.08, -92.066)
Wayne;2002;6635;(40.739, -93.327)
Crawford;2002;16847;(42.037, -95.382)
Ringgold;2002;5294;(40.735, -94.244)
Monroe;2002;7793;(41.03, -92.869)
Shelby;2002;12836;(41.685, -95.31)
Henry;2002;19967;(40.988, -91.545)
Appanoose;2002;13377;(40.743, -92.869)
Woodbury;2002;102981;(42.39, -96.045)
Audubon;2002;6549;(41.685, -94.906)
Ida;2002;7550;(42.387, -95.513)
Allamakee;2002;14309;(43.284, -91.378)
Poweshiek;2002;18755;(41.686, -92.531)
Clarke;2002;9168;(41.029, -93.785)
Sioux;2002;31795;(43.083, -96.178)
Johnson;2002;115560;(41.672, -91.588)
Chickasaw;2002;12763;(43.06, -92.318)
Wright;2002;13819;(42.733, -93.735)
Mills;2002;14533;(41.033, -95.621)
Clayton;2002;18211;(42.845, -91.341)
Calhoun;2002;10719;(42.385, -94.64)
Dickinson;2002;16343;(43.378, -95.151)
Pottawattamie;2002;87944;(41.337, -95.542)
Mahaska;2002;22309;(41.335, -92.641)
Story;2002;81612;(42.036, -93.465)
Harrison;2002;15497;(41.683, -95.817)
Webster;2002;39672;(42.428, -94.182)
Dallas;2002;44324;(41.685, -94.04)
Cedar;2002;18049;(41.772, -91.132)
Iowa;2002;15756;(41.686, -92.066)
Polk;2002;385838;(41.686, -93.574)
Carroll;2002;21138;(42.036, -94.861)
Jackson;2002;20116;(42.172, -90.574)
Dubuque;2002;89218;(42.469, -90.882)
Tama;2002;17901;(42.08, -92.533)
Buena Vista;2002;20142;(42.735, -95.151)
Cerro Gordo;2002;45263;(43.082, -93.261)
Emmet;2002;10795;(43.378, -94.678)
O'Brien;2002;14681;(43.084, -95.625)
Hardin;2002;18419;(42.384, -93.24)
Hancock;2001;11903;(43.082, -93.734)
Greene;2001;10142;(42.036, -94.397)
Grundy;2001;12285;(42.402, -92.791)
Guthrie;2001;11220;(41.684, -94.501)
Hamilton;2001;16163;(42.384, -93.707)
Hardin;2001;18648;(42.384, -93.24)
Harrison;2001;15638;(41.683, -95.817)
Henry;2001;20336;(40.988, -91.545)
Howard;2001;9869;(43.357, -92.317)
Humboldt;2001;10280;(42.776, -94.207)
Ida;2001;7662;(42.387, -95.513)
Iowa;2001;15780;(41.686, -92.066)
Jackson;2001;20252;(42.172, -90.574)
Jasper;2001;37266;(41.686, -93.054)
Jefferson;2001;16035;(41.032, -91.949)
Johnson;2001;113878;(41.672, -91.588)
Jones;2001;20158;(42.121, -91.131)
Keokuk;2001;11372;(41.336, -92.179)
Kossuth;2001;16780;(43.204, -94.207)
Lee;2001;37386;(40.642, -91.479)
Linn;2001;194323;(42.079, -91.599)
Louisa;2001;12172;(41.219, -91.26)
Lucas;2001;9443;(41.029, -93.328)
Lyon;2001;11634;(43.38, -96.21)
Madison;2001;14148;(41.331, -94.016)
Mahaska;2001;22378;(41.335, -92.641)
Marion;2001;32505;(41.334, -93.099)
Marshall;2001;39274;(42.036, -92.999)
Mills;2001;14482;(41.033, -95.621)
Mitchell;2001;10735;(43.356, -92.789)
Monona;2001;9818;(42.052, -95.96)
Monroe;2001;7937;(41.03, -92.869)
Montgomery;2001;11506;(41.03, -95.156)
Muscatine;2001;41792;(41.484, -91.113)
O'Brien;2001;14881;(43.084, -95.625)
Osceola;2001;6937;(43.379, -95.624)
Page;2001;16869;(40.739, -95.15)
Palo Alto;2001;10029;(43.082, -94.678)
Plymouth;2001;24745;(42.738, -96.214)
Pocahontas;2001;8459;(42.734, -94.679)
Polk;2001;381093;(41.686, -93.574)
Pottawattamie;2001;87671;(41.337, -95.542)
Poweshiek;2001;18850;(41.686, -92.531)
Ringgold;2001;5389;(40.735, -94.244)
Sac;2001;11358;(42.386, -95.105)
Scott;2001;158542;(41.637, -90.623)
Shelby;2001;12992;(41.685, -95.31)
Sioux;2001;31742;(43.083, -96.178)
Story;2001;80057;(42.036, -93.465)
Tama;2001;18014;(42.08, -92.533)
Taylor;2001;6892;(40.737, -94.696)
Union;2001;12201;(41.028, -94.242)
Van Buren;2001;7735;(40.753, -91.95)
Wapello;2001;35954;(41.031, -92.409)
Warren;2001;41010;(41.334, -93.561)
Washington;2001;21000;(41.336, -91.718)
Wayne;2001;6640;(40.739, -93.327)
Webster;2001;40037;(42.428, -94.182)
Winnebago;2001;11533;(43.378, -93.734)
Winneshiek;2001;21236;(43.291, -91.844)
Woodbury;2001;103311;(42.39, -96.045)
Worth;2001;7801;(43.377, -93.261)
Wright;2001;14055;(42.733, -93.735)
Clay;2001;17255;(43.083, -95.151)
Des Moines;2001;41917;(40.923, -91.181)
Calhoun;2001;10946;(42.385, -94.64)
Dallas;2001;42720;(41.685, -94.04)
Franklin;2001;10599;(42.733, -93.262)
Davis;2001;8571;(40.748, -92.41)
Delaware;2001;18212;(42.471, -91.367)
Cherokee;2001;12835;(42.736, -95.624)
Dickinson;2001;16473;(43.378, -95.151)
Bremer;2001;23401;(42.775, -92.318)
Carroll;2001;21214;(42.036, -94.861)
Floyd;2001;16618;(43.06, -92.789)
Cass;2001;14476;(41.331, -94.928)
Clinton;2001;49845;(41.898, -90.532)
Decatur;2001;8652;(40.738, -93.786)
Cerro Gordo;2001;45744;(43.082, -93.261)
Allamakee;2001;14343;(43.284, -91.378)
Benton;2001;25619;(42.08, -92.066)
Crawford;2001;16890;(42.037, -95.382)
Chickasaw;2001;13047;(43.06, -92.318)
Dubuque;2001;88998;(42.469, -90.882)
Adams;2001;4396;(41.029, -94.699)
Black Hawk;2001;127656;(42.47, -92.309)
Audubon;2001;6657;(41.685, -94.906)
Buchanan;2001;20945;(42.471, -91.838)
Emmet;2001;10873;(43.378, -94.678)
Fremont;2001;7866;(40.746, -95.605)
Buena Vista;2001;20194;(42.735, -95.151)
Cedar;2001;18074;(41.772, -91.132)
Clarke;2001;9180;(41.029, -93.785)
Fayette;2001;21674;(42.863, -91.844)
Boone;2001;26210;(42.037, -93.932)
Clayton;2001;18451;(42.845, -91.341)
Butler;2001;15005;(42.732, -92.79)
Appanoose;2001;13558;(40.743, -92.869)
Adair;2001;8077;(41.331, -94.471)
Davis;2000;8541;(40.748, -92.41)
Marion;2000;32054;(41.334, -93.099)
Black Hawk;2000;128013;(42.47, -92.309)
Keokuk;2000;11400;(41.336, -92.179)
Henry;2000;20336;(40.988, -91.545)
Boone;2000;26216;(42.037, -93.932)
Mahaska;2000;22335;(41.335, -92.641)
Cedar;2000;18187;(41.772, -91.132)
Page;2000;16976;(40.739, -95.15)
Pottawattamie;2000;87807;(41.337, -95.542)
Madison;2000;14019;(41.331, -94.016)
Fayette;2000;22008;(42.863, -91.844)
Lyon;2000;11763;(43.38, -96.21)
Des Moines;2000;42351;(40.923, -91.181)
Harrison;2000;15666;(41.683, -95.817)
Lucas;2000;9422;(41.029, -93.328)
Kossuth;2000;17163;(43.204, -94.207)
Benton;2000;25307;(42.08, -92.066)
Jones;2000;20221;(42.121, -91.131)
Louisa;2000;12183;(41.219, -91.26)
Lee;2000;38052;(40.642, -91.479)
Delaware;2000;18404;(42.471, -91.367)
Greene;2000;10366;(42.036, -94.397)
Grundy;2000;12369;(42.402, -92.791)
Hardin;2000;18812;(42.384, -93.24)
Guthrie;2000;11353;(41.684, -94.501)
Hancock;2000;12100;(43.082, -93.734)
Clarke;2000;9133;(41.029, -93.785)
Clay;2000;17372;(43.083, -95.151)
Carroll;2000;21427;(42.036, -94.861)
Mitchell;2000;10872;(43.356, -92.789)
Poweshiek;2000;18832;(41.686, -92.531)
Palo Alto;2000;10147;(43.082, -94.678)
Butler;2000;15305;(42.732, -92.79)
Buchanan;2000;21093;(42.471, -91.838)
O'Brien;2000;15102;(43.084, -95.625)
Cass;2000;14684;(41.331, -94.928)
Dubuque;2000;89156;(42.469, -90.882)
Muscatine;2000;41722;(41.484, -91.113)
Franklin;2000;10704;(42.733, -93.262)
Cerro Gordo;2000;46447;(43.082, -93.261)
Plymouth;2000;24849;(42.738, -96.214)
Pocahontas;2000;8662;(42.734, -94.679)
Johnson;2000;111006;(41.672, -91.588)
Emmet;2000;11028;(43.378, -94.678)
Audubon;2000;6830;(41.685, -94.906)
Allamakee;2000;14675;(43.284, -91.378)
Ringgold;2000;5469;(40.735, -94.244)
Sac;2000;11529;(42.386, -95.105)
Sioux;2000;31589;(43.083, -96.178)
Story;2000;79981;(42.036, -93.465)
Tama;2000;18103;(42.08, -92.533)
Taylor;2000;6958;(40.737, -94.696)
Jefferson;2000;16181;(41.032, -91.949)
Appanoose;2000;13723;(40.743, -92.869)
Montgomery;2000;11771;(41.03, -95.156)
Polk;2000;374575;(41.686, -93.574)
Union;2000;12309;(41.028, -94.242)
Van Buren;2000;7809;(40.753, -91.95)
Wapello;2000;36051;(41.031, -92.409)
Warren;2000;40671;(41.334, -93.561)
Washington;2000;20670;(41.336, -91.718)
Wayne;2000;6730;(40.739, -93.327)
Jasper;2000;37213;(41.686, -93.054)
Calhoun;2000;11115;(42.385, -94.64)
Monroe;2000;8016;(41.03, -92.869)
Bremer;2000;23325;(42.775, -92.318)
Webster;2000;40235;(42.428, -94.182)
Winnebago;2000;11723;(43.378, -93.734)
Winneshiek;2000;21310;(43.291, -91.844)
Woodbury;2000;103877;(42.39, -96.045)
Worth;2000;7909;(43.377, -93.261)
Wright;2000;14334;(42.733, -93.735)
Jackson;2000;20296;(42.172, -90.574)
Clayton;2000;18678;(42.845, -91.341)
Crawford;2000;16942;(42.037, -95.382)
Chickasaw;2000;13095;(43.06, -92.318)
Dickinson;2000;16424;(43.378, -95.151)
Dallas;2000;40776;(41.685, -94.04)
Monona;2000;10020;(42.052, -95.96)
Howard;2000;9934;(43.357, -92.317)
Decatur;2000;8689;(40.738, -93.786)
Fremont;2000;8010;(40.746, -95.605)
Iowa;2000;15671;(41.686, -92.066)
Ida;2000;7840;(42.387, -95.513)
Mills;2000;14547;(41.033, -95.621)
Adair;2000;8243;(41.331, -94.471)
Clinton;2000;50149;(41.898, -90.532)
Adams;2000;4482;(41.029, -94.699)
