County;Year;Population;Primary County Coordinates
Tama;2015;17204;(42.0798117, -92.5325425)
Lee;2015;34895;(40.6419764, -91.479264)
Dallas;2015;80491;(41.6848862, -94.0397374)
Allamakee;2015;13852;(43.2842838, -91.3780923)
Clay;2015;16508;(43.0825804, -95.1509194)
Scott;2015;171724;(41.6370978, -90.6232428)
Delaware;2015;17371;(42.471211, -91.3673502)
Page;2015;15447;(40.7391444, -95.1501747)
Greene;2015;8951;(42.0362394, -94.3968356)
Van Buren;2015;7297;(40.7532294, -91.9499871)
Decatur;2015;8123;(40.7376827, -93.7862815)
Lyon;2015;11748;(43.380497, -96.2102924)
Sioux;2015;34687;(43.0826174, -96.1778827)
Humboldt;2015;9544;(42.7764686, -94.2071868)
Osceola;2015;6159;(43.3785704, -95.6236852)
Johnson;2015;144527;(41.6715511, -91.5880849)
Jackson;2015;19357;(42.1717426, -90.5742294)
Benton;2015;25611;(42.0801864, -92.0656912)
Mitchell;2015;10671;(43.3564124, -92.7890315)
Ida;2015;6962;(42.3868747, -95.5134962)
Cedar;2015;18300;(41.7723207, -91.1324125)
Montgomery;2015;10149;(41.03014, -95.1563758)
Story;2015;96348;(42.0362415, -93.4650448)
Cerro Gordo;2014;43166;(43.0815577, -93.2608184)
Delaware;2014;17374;(42.471211, -91.3673502)
Taylor;2014;6164;(40.7374324, -94.6964148)
Scott;2014;171118;(41.6370978, -90.6232428)
Benton;2014;25630;(42.0801864, -92.0656912)
Ringgold;2014;4961;(40.7352023, -94.2439719)
Monona;2014;8894;(42.0516663, -95.9599235)
Black Hawk;2014;133123;(42.4700957, -92.3088197)
Jasper;2014;36870;(41.6860394, -93.053765)
Muscatine;2014;42936;(41.4839221, -91.1127562)
Greene;2014;9129;(42.0362394, -94.3968356)
Allamakee;2014;14044;(43.2842838, -91.3780923)
Winneshiek;2014;20693;(43.2906746, -91.8437074)
Marion;2014;33260;(41.3344515, -93.0994367)
Montgomery;2014;10378;(41.03014, -95.1563758)
Pocahontas;2014;7096;(42.7341351, -94.6787466)
Audubon;2014;5769;(41.6845893, -94.9058222)
Osceola;2014;6227;(43.3785704, -95.6236852)
Des Moines;2014;40087;(40.9231829, -91.1814707)
Davis;2014;8756;(40.7476891, -92.4097173)
Shelby;2014;11873;(41.6850926, -95.3102113)
Kossuth;2014;15223;(43.20413, -94.2067199)
Wapello;2014;35382;(41.0305845, -92.4094499)
Bremer;2014;24674;(42.7745873, -92.3180548)
Monroe;2014;7957;(41.0297826, -92.8689877)
Van Buren;2014;7392;(40.7532294, -91.9499871)
Grundy;2014;12392;(42.4018651, -92.7914177)
Buena Vista;2014;20551;(42.7354936, -95.151149)
Adair;2014;7367;(41.3307464, -94.4709413)
Worth;2014;7562;(43.3773984, -93.2608476)
Tama;2014;17308;(42.0798117, -92.5325425)
Emmet;2014;9792;(43.3780225, -94.6784803)
Jackson;2014;19422;(42.1717426, -90.5742294)
Fremont;2014;7032;(40.7455892, -95.6046765)
Lyon;2014;11701;(43.380497, -96.2102924)
Howard;2014;9352;(43.3567673, -92.3171989)
Floyd;2014;16009;(43.0599208, -92.7890033)
Page;2014;15463;(40.7391444, -95.1501747)
Lucas;2014;8624;(41.0293738, -93.3277207)
Carroll;2014;20496;(42.0362382, -94.8605593)
Hancock;2014;11037;(43.0818861, -93.7342723)
Mahaska;2014;22352;(41.3352035, -92.6409094)
Henry;2014;19820;(40.9879383, -91.5445241)
Louisa;2014;11225;(41.2185073, -91.2596184)
Franklin;2014;10432;(42.7325458, -93.262473)
Buchanan;2014;21135;(42.4707777, -91.8378392)
Dallas;2014;77569;(41.6848862, -94.0397374)
Marshall;2014;40672;(42.0358499, -92.9987706)
Mitchell;2014;10693;(43.3564124, -92.7890315)
Jones;2014;20512;(42.1212397, -91.1314352)
Cass;2014;13394;(41.3314876, -94.9278266)
Decatur;2014;8200;(40.7376827, -93.7862815)
Ida;2014;6970;(42.3868747, -95.5134962)
Hardin;2014;17327;(42.3838803, -93.2404025)
Clinton;2014;47882;(41.8980358, -90.5319724)
Guthrie;2014;10681;(41.6837548, -94.501055)
Butler;2014;14958;(42.7315661, -92.7901934)
Sac;2014;10048;(42.3862604, -95.1053946)
Clayton;2014;17763;(42.8447493, -91.3414328)
Appanoose;2014;12667;(40.7431635, -92.8686104)
Harrison;2014;14269;(41.6828528, -95.8169209)
Boone;2014;26282;(42.0365493, -93.931671)
Cedar;2014;18318;(41.7723207, -91.1324125)
Dubuque;2014;96408;(42.468832, -90.8824564)
Fayette;2014;20274;(42.8625919, -91.8443207)
Warren;2014;47830;(41.3343735, -93.5613594)
Palo Alto;2014;9118;(43.0820643, -94.6781371)
Story;2014;95310;(42.0362415, -93.4650448)
Mills;2014;14763;(41.0334523, -95.6213267)
Cherokee;2014;11802;(42.7356226, -95.6238055)
Clarke;2014;9202;(41.0290323, -93.7851579)
Calhoun;2014;9839;(42.3851848, -94.6404136)
Keokuk;2014;10282;(41.336465, -92.1786426)
O'Brien;2014;14036;(43.0837527, -95.6248784)
Linn;2014;217821;(42.0789478, -91.5989646)
Crawford;2014;17167;(42.0372125, -95.3819678)
Hamilton;2014;15218;(42.3837722, -93.7068085)
Wright;2014;12902;(42.7331189, -93.7351465)
Union;2014;12615;(41.0277304, -94.2423792)
Webster;2014;37042;(42.4279662, -94.1817881)
Madison;2014;15604;(41.3307142, -94.0155619)
Humboldt;2014;9624;(42.7764686, -94.2071868)
Wayne;2014;6374;(40.7394702, -93.3273639)
Pottawattamie;2014;93199;(41.3366123, -95.5423935)
Plymouth;2014;24897;(42.7378346, -96.2140431)
Iowa;2014;16312;(41.6863229, -92.065524)
Polk;2014;460293;(41.6855048, -93.5735335)
Poweshiek;2014;18571;(41.6864422, -92.5314684)
Adams;2014;3878;(41.0289839, -94.6991849)
Jefferson;2014;17693;(41.0317596, -91.9488774)
Woodbury;2014;102200;(42.3897169, -96.0447673)
Chickasaw;2014;12239;(43.0600414, -92.3176637)
Washington;2014;22017;(41.335591, -91.7178676)
Winnebago;2014;10541;(43.3775678, -93.7341955)
Sioux;2014;34566;(43.0826174, -96.1778827)
Dickinson;2014;16830;(43.3779848, -95.1508301)
Clay;2014;16491;(43.0825804, -95.1509194)
Lee;2014;35052;(40.6419764, -91.479264)
Johnson;2014;142100;(41.6715511, -91.5880849)
Benton;2013;25706;(42.0801864, -92.0656912)
Des Moines;2013;40381;(40.9231829, -91.1814707)
Montgomery;2013;10397;(41.03014, -95.1563758)
Fremont;2013;7072;(40.7455892, -95.6046765)
Palo Alto;2013;9159;(43.0820643, -94.6781371)
Sioux;2013;34454;(43.0826174, -96.1778827)
Woodbury;2013;102195;(42.3897169, -96.0447673)
Allamakee;2013;14051;(43.2842838, -91.3780923)
Dubuque;2013;95888;(42.468832, -90.8824564)
Winnebago;2013;10417;(43.3775678, -93.7341955)
