,Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
7584,S05562700001,05/16/2012,3573,Quik Shop Foods / Four M In,405 S MADISON,OTTUMWA,52501,"405 S MADISON
OTTUMWA 52501
(40.999098, -92.410459)",90.0,Wapello,1011500.0,STRAIGHT RYE WHISKIES,255,Wilson Daniels Ltd.,27102,Templeton Rye,6,750,$10.50,$15.75,6,$94.50,4.5,1.19
7585,S23653500013,01/28/2015,3354,Sam's Club 8238 / Davenport,3845 ELMORE AVE.,DAVENPORT,52807,"3845 ELMORE AVE.
DAVENPORT 52807
(41.559724, -90.52708)",82.0,Scott,1081340.0,ROOT BEER SCHNAPPS,380,Phillips Beverage Company,84617,Phillips Root Beer Schnapps,12,1000,$5.50,$8.25,12,$99.00,12.0,3.17
7586,S04607400029,03/19/2012,3713,Wal-Mart 0810 / Mason City,4151  4TH ST SW,MASON CITY,50401,"4151 4TH ST SW
MASON CITY 50401
(43.148239, -93.261648)",17.0,Cerro Gordo,1032200.0,IMPORTED VODKA - MISC,370,Pernod Ricard USA/Austin Nichols,34030,Absolut Citron (lemon Vodka),12,750,$10.89,$16.33,12,$195.96,9.0,2.38
7587,S20415600045,07/31/2014,3926,Liquor Downtown / Iowa City,315 S GILBERT ST,IOWA CITY,52240,"315 S GILBERT ST
IOWA CITY 52240
(41.657654, -91.530181)",52.0,Johnson,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,380,Phillips Beverage Company,45419,Phillips White Rum,12,1000,$4.45,$6.68,24,$160.32,24.0,6.34
7588,S20044500028,07/10/2014,2552,Hy-Vee Food Store #3 / Cedar Rapids,20 WILSON AVENUE WEST,CEDAR RAPIDS,52404,"20 WILSON AVENUE WEST
CEDAR RAPIDS 52404
(41.955861, -91.658753)",57.0,Linn,1031080.0,VODKA 80 PROOF,434,Luxco-St Louis,36306,Hawkeye Vodka,12,750,$3.34,$5.01,48,$240.48,36.0,9.51
7589,S18681900045,04/29/2014,2665,Hy-Vee / Waukee,1005 E HICKMAN RD,WAUKEE,50263,"1005 E HICKMAN RD
WAUKEE 50263
(41.614909, -93.842181)",25.0,Dallas,1032200.0,IMPORTED VODKA - MISC,65,Jim Beam Brands,35626,Pinnacle Whipped,12,750,$6.88,$10.82,12,$129.84,9.0,2.38
7590,S22203500027,11/05/2014,5050,Fareway Stores #147 / Carlisle,"1115, BLUESTEM DR",CARLISLE,50047,"1115, BLUESTEM DR
CARLISLE 50047
(41.497945, -93.499633)",91.0,Warren,1022100.0,TEQUILA,421,"Sazerac Co., Inc.",88766,Tortilla White Tequila,12,750,$6.20,$9.30,12,$111.60,9.0,2.38
7591,S15547300004,11/05/2013,2592,Hy-Vee Drugstore / Marshalltown,1712 S CENTER  ST,MARSHALLTOWN,50158,"1712 S CENTER ST
MARSHALLTOWN 50158
(42.027531, -92.912505)",64.0,Marshall,1031080.0,VODKA 80 PROOF,297,Laird And Company,35926,Five O'clock PET Vodka,12,750,$3.37,$5.06,12,$60.72,9.0,2.38
7592,S07831900004,09/19/2012,2200,Sac Liquor Store,619 E MAIN ST,SAC CITY,50583,"619 E MAIN ST
SAC CITY 50583
(42.421341, -94.974011)",81.0,Sac,1012100.0,CANADIAN WHISKIES,55,Sazerac North America,12408,Canadian Ltd Whisky,6,1750,$8.99,$13.49,12,$161.88,21.0,5.55
7593,S04315200007,02/29/2012,4090,Mcelroy's Food Market,135 MADISON ST,WINTHROP,50682,"135 MADISON ST
WINTHROP 50682
(42.473031, -91.732297)",10.0,Buchanan,1081355.0,STRAWBERRY SCHNAPPS,434,Luxco-St Louis,84496,Paramount Strawberry Schnapps,12,750,$3.97,$5.95,12,$71.40,9.0,2.38
7594,S13133600031,07/02/2013,3778,Family Pantry,4538 LOWER BEAVER RD,DES MOINES,50310,"4538 LOWER BEAVER RD
DES MOINES 50310
(41.638673, -93.665871)",77.0,Polk,1012100.0,CANADIAN WHISKIES,260,Diageo Americas,11290,Crown Royal Canadian Whisky Mini,10,300,$6.90,$10.35,1,$10.35,0.3,0.08
7595,S13509700026,07/23/2013,2657,Hy-Vee Food Store / Bedford,1604 BENT,BEDFORD,50833,"1604 BENT
BEDFORD 50833
(40.676171, -94.725578)",87.0,Taylor,1081200.0,CREAM LIQUEURS,305,MHW Ltd,73050,Rumchata,6,750,$12.50,$18.75,1,$18.75,0.75,0.2
7596,S19496600019,06/11/2014,3717,The Liquor Stop / Sumner,201 W 1st ST,SUMNER,50674,"201 W 1st ST
SUMNER 50674
(42.847479, -92.099221)",9.0,Bremer,1051010.0,AMERICAN GRAPE BRANDIES,259,Heaven Hill Brands,52318,Christian Bros Brandy,6,1750,$10.33,$16.24,1,$16.24,1.75,0.46
7597,S14910000027,10/02/2013,2635,Hy-Vee #4 / Davenport,4064 E 53RD ST,DAVENPORT,52807,"4064 E 53RD ST
DAVENPORT 52807
(41.574973, -90.513769)",82.0,Scott,1012300.0,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15628,Jameson,6,1750,$26.49,$39.74,6,$238.44,10.5,2.77
7598,S27582600142,08/27/2015,2567,Hy-Vee Drugstore / Davenport,2200 WEST KIMBERLY,DAVENPORT,52806,"2200 WEST KIMBERLY
DAVENPORT 52806
(41.560151, -90.608199)",82.0,Scott,1081010.0,AMERICAN AMARETTO,55,Sazerac North America,73986,Di Amore Amaretto,12,750,$6.00,$9.00,1,$9.00,0.75,0.2
