,Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
2146,S07912800031,09/25/2012,4167,"Iowa Street Market, Inc.",1256 IOWA ST,DUBUQUE,52001,"1256 IOWA ST
DUBUQUE 52001
(42.504958, -90.668138)",31.0,Dubuque,1051010.0,AMERICAN GRAPE BRANDIES,115,"Constellation Wine Company, Inc.",53214,Paul Masson Grande Amber Brandy,24,375,$3.05,$4.57,24,$109.68,9.0,2.38
2147,S19623600069,06/18/2014,2200,Sac Liquor Store,619 E MAIN ST,SAC CITY,50583,"619 E MAIN ST
SAC CITY 50583
(42.421341, -94.974011)",81.0,Sac,1041100.0,AMERICAN DRY GINS,434,Luxco-St Louis,31658,Paramount Gin,6,1750,$7.11,$10.67,1,$10.67,1.75,0.46
2148,S20883500102,08/27/2014,2513,Hy-Vee Food Store #2 / Iowa City,812  S 1ST AVE,IOWA CITY,52240,"812 S 1ST AVE
IOWA CITY 52240
",52.0,Johnson,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45248,Paramount Gold Rum,6,1750,$7.84,$11.76,6,$70.56,10.5,2.77
2149,S19867300159,07/01/2014,3495,Great Pastimes,228 N MAIN ST,MONTICELLO,52310,"228 N MAIN ST
MONTICELLO 52310
(42.240132, -91.183413)",53.0,Jones,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45278,Paramount White Rum,6,1750,$7.84,$11.76,1,$11.76,1.75,0.46
2150,S27476800093,08/24/2015,3612,B and C Liquor / Maquoketa,509 E PLATT,MAQUOKETA,52060,"509 E PLATT
MAQUOKETA 52060
(42.069219, -90.661269)",49.0,Jackson,1031200.0,VODKA FLAVORED,260,Diageo Americas,77632,Smirnoff Blueberry,12,750,$8.25,$12.38,1,$12.38,0.75,0.2
2151,S24494600073,03/12/2015,2571,Hy-Vee Food Store #2 / Waterloo,2181 LOGAN AVE,WATERLOO,50703,"2181 LOGAN AVE
WATERLOO 50703
(42.530476, -92.337583)",7.0,Black Hawk,1031080.0,VODKA 80 PROOF,434,Luxco-St Louis,36304,Hawkeye Vodka,24,375,$2.07,$3.11,24,$74.64,9.0,2.38
2152,S09272800047,12/03/2012,4209,Wal-Mart 5748 / Grimes,2150 EAST 1ST ST,GRIMES,50111,"2150 EAST 1ST ST
GRIMES 50111
(41.688335, -93.771771)",77.0,Polk,1081200.0,CREAM LIQUEURS,330,Gemini Spirits,80456,Ryan's Cream Liqueur,12,750,$5.69,$9.04,12,$108.48,9.0,2.38
2153,S04299600017,02/28/2012,3451,Barnes Foodland,622 10TH ST,DEWITT,52742,"622 10TH ST
DEWITT 52742
(41.825153, -90.539393)",23.0,Clinton,1081500.0,ROCK & RYE,55,Sazerac North America,85796,Mr. Boston Rock & Rye,12,750,$4.93,$7.39,12,$88.68,9.0,2.38
2154,S06841800014,07/31/2012,4051,Fareway Stores #639 / Maquoketa,110 WESTGATE DR,MAQUOKETA,52060,"110 WESTGATE DR
MAQUOKETA 52060
(42.068772, -90.680631)",49.0,Jackson,1041100.0,AMERICAN DRY GINS,259,Heaven Hill Brands,29566,Burnett's Gin London Dry,12,750,$4.77,$7.15,3,$21.45,2.25,0.59
2155,S23664000033,01/26/2015,4612,ATC Liquor,"214, MYRTLE ST",DAVENPORT,52802,"214, MYRTLE ST
DAVENPORT 52802
(41.521586, -90.589149)",82.0,Scott,1011100.0,BLENDED WHISKIES,65,Jim Beam Brands,24451,Kessler Blend Whiskey Mini,12,500,$5.23,$7.85,1,$7.85,0.5,0.13
2156,S16038400002,12/02/2013,2652,Hy-Vee DrugStore / Mason City,875  4TH ST SW,MASON CITY,50401,"875 4TH ST SW
MASON CITY 50401
(43.148257, -93.213856)",17.0,Cerro Gordo,1081700.0,DISTILLED SPIRITS SPECIALTY,384,Piedmont Distillers,76036,Midnight Moon Apple Pie,6,750,$10.42,$15.63,6,$93.78,4.5,1.19
2157,S17252700183,02/05/2014,2500,Hy-Vee Food Store #1 / Ames,3800 W LINCOLN WAY,AMES,50010,"3800 W LINCOLN WAY
AMES 50010
(42.023145, -93.715664)",85.0,Story,1022100.0,TEQUILA,395,Proximo,89194,Jose Cuervo Especial Reposado Flask,24,375,$5.50,$8.25,4,$33.00,1.5,0.4
2158,S12899600020,06/18/2013,4652,Brady Mart Food & Liquor,"3107, BRADY ST",DAVENPORT,52803,"3107, BRADY ST
DAVENPORT 52803
(41.552159, -90.569719)",82.0,Scott,1052010.0,IMPORTED GRAPE BRANDIES,389,REMY COINTREAU USA         .,49189,Remy Martin Vsop Cognac,24,200,$5.41,$8.12,24,$194.88,4.8,1.27
2159,S08164600002,10/08/2012,4256,Fareway Stores #912 / Sioux Center,115  1ST AVE NW,SIOUX CENTER,51250,"115 1ST AVE NW
SIOUX CENTER 51250
(43.077523, -96.176928)",84.0,Sioux,1012100.0,CANADIAN WHISKIES,65,Jim Beam Brands,15248,Windsor Canadian Pet,6,1750,$8.92,$13.38,36,$481.68,63.0,16.64
2160,S09668300006,12/24/2012,4743,No Frills Supermarkets #791 / Counci,1801 VALLEY VIEW DR,COUNCIL BLUFFS,51503,"1801 VALLEY VIEW DR
COUNCIL BLUFFS 51503
(41.24394, -95.818775)",78.0,Pottawattamie,1081300.0,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,81206,Paramount Peppermint Schnapps,12,750,$3.70,$5.55,12,$66.60,9.0,2.38
2161,S15492800091,11/04/2013,2506,Hy-Vee #1044 / Burlington,3140 AGENCY,BURLINGTON,52601,"3140 AGENCY
BURLINGTON 52601
(40.814689, -91.137509)",29.0,Des Moines,1081380.0,MISCELLANEOUS SCHNAPPS,65,Jim Beam Brands,82627,Dekuyper Cherry Pucker,12,1000,$7.62,$11.43,12,$137.16,12.0,3.17
2162,S11931000010,04/30/2013,2584,Hy-Vee Food Store / Fort Madison,2606 AVENUE L,FORT MADISON,52627,"2606 AVENUE L
FORT MADISON 52627
(40.626988, -91.343544)",56.0,Lee,1011500.0,STRAIGHT RYE WHISKIES,255,Wilson Daniels Ltd.,27102,Templeton Rye,6,750,$18.08,$27.13,6,$162.78,4.5,1.19
2163,S17757400058,03/06/2014,3920,Smokin' Joe's #11 Tobacco and Liquor,1606 CAMANCHE AVE,CLINTON,52732,"1606 CAMANCHE AVE
CLINTON 52732
(41.827842, -90.204753)",23.0,Clinton,1031200.0,VODKA FLAVORED,380,Phillips Beverage Company,41693,Uv Blue (raspberry) Vodka,12,750,$6.50,$9.74,1,$9.74,0.75,0.2
2164,S04799500009,03/29/2012,3731,Wal-Mart 1241 / Davenport,5811 ELMORE AVE,DAVENPORT,52807,"5811 ELMORE AVE
DAVENPORT 52807
(41.581826, -90.52886)",82.0,Scott,1012100.0,CANADIAN WHISKIES,55,Sazerac North America,12408,Canadian Ltd Whisky,6,1750,$8.99,$13.49,6,$80.94,10.5,2.77
2165,S29218800067,11/20/2015,2613,Hy-Vee Food Store #1 / Council Bluff,2323 W BROADWAY,COUNCIL BLUFFS,51501,"2323 W BROADWAY
COUNCIL BLUFFS 51501
(41.261925, -95.879662)",78.0,Pottawattamie,1041100.0,AMERICAN DRY GINS,205,E AND J GALLO WINERY,31475,New Amsterdam Gin,12,750,$6.90,$10.35,12,$124.20,9.0,2.38
2166,S16166000177,12/09/2013,2648,Hy-Vee #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,"555 S 51ST ST
WEST DES MOINES 50265
(41.561219, -93.773583)",77.0,Polk,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,978,"W. J. Deutsch And Sons, Ltd.",65426,Licor 43,12,750,$13.33,$19.99,3,$59.97,2.25,0.59
2167,S18921800003,05/13/2014,4655,Casey's General Store #2237 / Prairi,1002 W 2ND ST,PRAIRIE CITY,50228,"1002 W 2ND ST
PRAIRIE CITY 50228
(41.596714, -93.247591)",50.0,Jasper,1012100.0,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11774,Black Velvet,24,375,$3.07,$4.60,48,$220.80,18.0,4.76
2168,S28551200038,10/19/2015,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,"3235 OAKLAND ROAD NE
CEDAR RAPIDS 52402
(42.010972, -91.658105)",57.0,Linn,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,192,Sidney Frank Importing Co.,65253,Jagermeister Liqueur,48,200,$3.51,$5.27,3,$15.81,0.6,0.16
2169,S28808100084,11/02/2015,2190,"Central City Liquor, Inc.",1460 2ND AVE,DES MOINES,50314,"1460 2ND AVE
DES MOINES 50314
(41.60566, -93.619787)",77.0,Polk,1022100.0,TEQUILA,370,Pernod Ricard USA/Austin Nichols,89030,Avion Reposado,6,750,$26.49,$39.74,2,$79.48,1.5,0.4
2170,S12710100039,06/11/2013,3894,Smokin' Joe's #6 Tobacco and Liquor,1404  1ST AVE NE,CEDAR RAPIDS,52402,"1404 1ST AVE NE
CEDAR RAPIDS 52402
(41.987286, -91.653699)",57.0,Linn,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43121,Bacardi Superior Rum Mini,12,500,$4.74,$7.11,1,$7.11,0.5,0.13
2171,S04601200049,03/19/2012,2622,Hy-Vee Food Store / Iowa City,1125 N DODGE ST,IOWA CITY,52240,"1125 N DODGE ST
IOWA CITY 52240
(41.676203, -91.518536)",52.0,Johnson,1042100.0,IMPORTED DRY GINS,35,"Bacardi U.S.A., Inc.",28206,Bombay Dry Gin,12,750,$9.26,$14.39,3,$43.17,2.25,0.59
2172,S21302600035,09/18/2014,3437,Scott's Foods,1120 SUNSET DRIVE,NORWALK,50211,"1120 SUNSET DRIVE
NORWALK 50211
(41.479869, -93.67811)",91.0,Warren,1012200.0,SCOTCH WHISKIES,35,"Bacardi U.S.A., Inc.",4866,Dewars White Label Scotch,12,750,$13.73,$20.60,3,$61.80,2.25,0.59
2173,S15261400038,10/22/2013,3704,Celtics Beverage Company,1122 BROADWAY,EMMETSBURG,50536,"1122 BROADWAY
EMMETSBURG 50536
(43.109636, -94.678806)",74.0,Palo Alto,1062310.0,SPICED RUM,260,Diageo Americas,43418,Captain Morgan Tattoo,12,750,$8.75,$13.12,1,$13.12,0.75,0.2
2174,S18147200105,04/02/2014,2536,HY-VEE / PLEASANT HILL,4815 MAPLE DRIVE,PLEASANT HILL,50317,"4815 MAPLE DRIVE
PLEASANT HILL 50317
",77.0,Polk,1062100.0,JAMAICA RUM,260,Diageo Americas,42166,Myers's Rum Original Dark,12,750,$10.00,$14.99,2,$29.98,1.5,0.4
2175,S13080600006,07/02/2013,4724,Walgreens #05942 / Newton,1204 1ST AVE EAST,NEWTON,50208,"1204 1ST AVE EAST
NEWTON 50208
(41.699223, -93.038091)",50.0,Jasper,1012200.0,SCOTCH WHISKIES,260,Diageo Americas,10008,Scoresby Rare Scotch,6,1750,$10.50,$15.74,6,$94.44,10.5,2.77
2176,S11076300005,03/14/2013,4478,U S Gas,"3000, SW 9th ST",DES MOINES,50315,"3000, SW 9th ST
DES MOINES 50315
(41.557843, -93.625681)",77.0,Polk,1031080.0,VODKA 80 PROOF,300,Mccormick Distilling Company,36904,Mccormick Vodka Pet,24,375,$1.80,$2.69,24,$64.56,9.0,2.38
2177,S15340200014,10/24/2013,2130,Sycamore Convenience,617 SYCAMORE,WATERLOO,50703,"617 SYCAMORE
WATERLOO 50703
(42.498, -92.335585)",7.0,Black Hawk,1011100.0,BLENDED WHISKIES,65,Jim Beam Brands,24457,Kessler Blend Whiskey,12,1000,$7.08,$10.62,12,$127.44,12.0,3.17
2178,S10293800007,01/29/2013,4159,Fareway Stores #073 / Council Bluffs,310 MCKENZIE AVE,COUNCIL BLUFFS,51503,"310 MCKENZIE AVE
COUNCIL BLUFFS 51503
(41.280083, -95.817991)",78.0,Pottawattamie,1011100.0,BLENDED WHISKIES,65,Jim Beam Brands,24458,Kessler Blend Whiskey,6,1750,$11.01,$16.52,6,$99.12,10.5,2.77
2179,S09309000013,12/05/2012,4043,Gasland #102 / Burlington,1703 MT PLEASANT ST,BURLINGTON,52601,"1703 MT PLEASANT ST
BURLINGTON 52601
(40.819885, -91.121931)",29.0,Des Moines,1012100.0,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11786,Black Velvet Traveler,12,750,$5.23,$7.84,24,$188.16,18.0,4.76
2180,S27155600001,08/05/2015,3013,Keith's Foods,207 E LOCUST ST,BLOOMFIELD,52537,"207 E LOCUST ST
BLOOMFIELD 52537
(40.752691, -92.412847)",26.0,Davis,1081700.0,DISTILLED SPIRITS SPECIALTY,384,Piedmont Distillers,76038,Midnight Moon Cherry,6,750,$11.50,$17.25,6,$103.50,4.5,1.19
2181,S18036100042,03/24/2014,3352,Cork 'n' Bottle,900 EAST MAIN ST.,MANCHESTER,52057,"900 EAST MAIN ST.
MANCHESTER 52057
(42.484073, -91.445037)",28.0,Delaware,1032200.0,IMPORTED VODKA - MISC,370,Pernod Ricard USA/Austin Nichols,34030,Absolut Citron (lemon Vodka),12,750,$11.49,$17.24,3,$51.72,2.25,0.59
2182,S25827000122,05/26/2015,2565,Hy-Vee Food Store / Spencer,819 N GRAND AVE,SPENCER,51301,"819 N GRAND AVE
SPENCER 51301
(43.145897, -95.14506)",21.0,Clay,1081330.0,PEACH SCHNAPPS,65,Jim Beam Brands,82846,Dekuyper Luscious Peachtree Schnapps,12,750,$6.30,$9.45,3,$28.35,2.25,0.59
2183,S06439100024,07/06/2012,4297,Discount Liquor / Cedar Rapids,2933  1ST AVE SE,CEDAR RAPIDS,52402,"2933 1ST AVE SE
CEDAR RAPIDS 52402
(42.006539, -91.634855)",57.0,Linn,1051010.0,AMERICAN GRAPE BRANDIES,115,"Constellation Wine Company, Inc.",53214,Paul Masson Grande Amber Brandy,24,375,$3.05,$4.57,24,$109.68,9.0,2.38
2184,S18169900142,03/31/2014,2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,"2400 4TH ST SW
MASON CITY 50401
(43.148446, -93.236556)",17.0,Cerro Gordo,1011200.0,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19476,Maker's Mark,12,750,$16.79,$25.19,2,$50.38,1.5,0.4
2185,S12223700005,05/15/2013,2572,Hy-Vee Food Store / Cedar Falls,6301 UNIVERSITY,CEDAR FALLS,50613,"6301 UNIVERSITY
CEDAR FALLS 50613
(42.512771, -92.433344)",7.0,Black Hawk,1012200.0,SCOTCH WHISKIES,260,Diageo Americas,5290,J & B Rare Scotch,12,750,$12.24,$18.36,12,$220.32,9.0,2.38
2186,S24740100038,03/26/2015,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517607, -92.455802)",7.0,Black Hawk,1031080.0,VODKA 80 PROOF,297,Laird And Company,35917,Five O'clock Vodka,12,1000,$4.17,$6.26,12,$75.12,12.0,3.17
2187,S15241600071,10/21/2013,2591,Hy-Vee Wine and Spirits / Atlantic,1602 E. 7TH ST.,ATLANTIC,50022,"1602 E. 7TH ST.
ATLANTIC 50022
(41.403856, -94.990031)",15.0,Cass,1011200.0,STRAIGHT BOURBON WHISKIES,434,Luxco-St Louis,16987,Bourbon Supreme Bourbon,12,1000,$4.70,$7.05,6,$42.30,6.0,1.59
2188,S19814900008,06/27/2014,3917,Smokin' Joe's #2 Tobacco and Liquor,1606 W LOCUST ST,DAVENPORT,52804,"1606 W LOCUST ST
DAVENPORT 52804
(41.538254, -90.599037)",82.0,Scott,1011100.0,BLENDED WHISKIES,297,Laird And Company,23826,Five Star,12,750,$3.46,$5.19,12,$62.28,9.0,2.38
2189,S12522500030,05/31/2013,2130,Sycamore Convenience,617 SYCAMORE,WATERLOO,50703,"617 SYCAMORE
WATERLOO 50703
(42.498, -92.335585)",7.0,Black Hawk,1031080.0,VODKA 80 PROOF,297,Laird And Company,35918,Five O'clock Vodka,6,1750,$7.20,$10.79,18,$194.22,31.5,8.32
2190,S15902500004,11/22/2013,2582,Hy-Vee #2 Food Store / Mason City,551 S ILLINOIS AVE,MASON CITY,50401,"551 S ILLINOIS AVE
MASON CITY 50401
(43.14623, -93.17114)",17.0,Cerro Gordo,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,192,Sidney Frank Importing Co.,65257,Jagermeister Liqueur,12,1000,$15.54,$23.31,12,$279.72,12.0,3.17
2191,S18933400004,05/13/2014,4531,Casey's General Store #2626 / Afton,501 N DOUGLAS ST,AFTON,50830,"501 N DOUGLAS ST
AFTON 50830
(41.031051, -94.1976)",88.0,Union,1012100.0,CANADIAN WHISKIES,260,Diageo Americas,11294,Crown Royal Canadian Whisky,24,375,$7.65,$11.48,24,$275.52,9.0,2.38
2192,S16748500088,01/08/2014,2548,Hy-Vee Food Store / Altoona,100 8TH STREET SW,ALTOONA,50009,"100 8TH STREET SW
ALTOONA 50009
(41.644041, -93.465301)",77.0,Polk,1081200.0,CREAM LIQUEURS,260,Diageo Americas,68036,Bailey's Original Irish Cream,12,750,$13.00,$19.49,12,$233.88,9.0,2.38
2193,S26743000024,07/15/2015,4156,Fareway Stores #412 / Oelwein,102  2ND AVE SE,OELWEIN,50662,"102 2ND AVE SE
OELWEIN 50662
(42.677024, -91.910502)",33.0,Fayette,1011100.0,BLENDED WHISKIES,297,Laird And Company,23828,Five Star,6,1750,$7.46,$11.19,6,$67.14,10.5,2.77
2194,S19113900005,05/27/2014,4709,Walgreens #12108 / Ames,2719 GRAND AVE,AMES,50010,"2719 GRAND AVE
AMES 50010
(42.048976, -93.620635)",85.0,Story,1062310.0,SPICED RUM,260,Diageo Americas,43336,Captain Morgan Original Spiced,12,750,$8.75,$13.12,12,$157.44,9.0,2.38
2195,S09576400029,12/19/2012,2585,Hy-Vee Wine and Spirits / Algona,1516 HIGHWAY 169 NORTH,ALGONA,50511,"1516 HIGHWAY 169 NORTH
ALGONA 50511
(43.081288, -94.236003)",55.0,Kossuth,1011200.0,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19226,Knob Creek,6,750,$19.94,$29.92,6,$179.52,4.5,1.19
2196,S26845500115,07/20/2015,4312,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,COUNCIL BLUFFS,51501,"2411 S 24TH ST #1
COUNCIL BLUFFS 51501
(41.238118, -95.879202)",78.0,Pottawattamie,1031100.0,100 PROOF VODKA,260,Diageo Americas,39868,Smirnoff Vodka 100 Prf,6,1750,$16.00,$24.00,2,$48.00,3.5,0.92
2197,S25208500125,04/21/2015,2552,Hy-Vee Food Store #3 / Cedar Rapids,20 WILSON AVENUE WEST,CEDAR RAPIDS,52404,"20 WILSON AVENUE WEST
CEDAR RAPIDS 52404
(41.955861, -91.658753)",57.0,Linn,1051010.0,AMERICAN GRAPE BRANDIES,125,"Cedar Ridge Vineyards,LLC",52216,Cedar Ridge Brandy,6,750,$18.75,$28.13,2,$56.26,1.5,0.4
2198,S18479200180,04/17/2014,2616,Hy-Vee Food and Drug / Clinton,901 SOUTH 4TH ST,CLINTON,52732,"901 SOUTH 4TH ST
CLINTON 52732
(41.836268, -90.193205)",23.0,Clinton,1081315.0,CINNAMON SCHNAPPS,421,"Sazerac Co., Inc.",82957,Firewater Cinnamon Schnapps,12,1000,$9.87,$14.80,2,$29.60,2.0,0.53
2199,S19119200041,05/22/2014,4108,Oasis Grocery and Liquor /,2917 PAYNE,DES MOINES,50310,"2917 PAYNE
DES MOINES 50310
(41.620075, -93.658277)",77.0,Polk,1031080.0,VODKA 80 PROOF,297,Laird And Company,35918,Five O'clock Vodka,6,1750,$7.20,$10.79,6,$64.74,10.5,2.77
2200,S13612500053,07/29/2013,4068,Sa Petro Mart,136  1ST ST,WEST DES MOINES,50265,"136 1ST ST
WEST DES MOINES 50265
(41.570743, -93.703344)",77.0,Polk,1012200.0,SCOTCH WHISKIES,35,"Bacardi U.S.A., Inc.",4866,Dewars White Label Scotch,12,750,$13.73,$20.59,2,$41.18,1.5,0.4
2201,S20594300056,08/11/2014,3443,Super Saver Iv,1141 N BROADWAY,COUNCIL BLUFFS,51503,"1141 N BROADWAY
COUNCIL BLUFFS 51503
(41.270824, -95.836515)",78.0,Pottawattamie,1051010.0,AMERICAN GRAPE BRANDIES,205,E AND J GALLO WINERY,52593,E & J Vs Brandy,24,200,$1.96,$2.94,1,$2.94,0.2,0.05
2202,S09332000015,12/06/2012,4732,Walgreens #07967 / Clive,15601 HICKMAN RD,CLIVE,50325,"15601 HICKMAN RD
CLIVE 50325
(41.614875, -93.834392)",77.0,Polk,1081200.0,CREAM LIQUEURS,305,MHW Ltd,73050,Rumchata,6,750,$12.50,$18.75,6,$112.50,4.5,1.19
2203,S25579300004,05/12/2015,3774,Eagle Country Market / Dubuque,1800 ELM ST,DUBUQUE,52001,"1800 ELM ST
DUBUQUE 52001
(42.511105, -90.665763)",31.0,Dubuque,1052010.0,IMPORTED GRAPE BRANDIES,420,"Moet Hennessy USA, Inc.",48105,Hennessy VS,12,375,$9.99,$14.99,24,$359.76,9.0,2.38
2204,S25788300046,05/21/2015,2248,Ingersoll Liquor and Beverage,3500 INGERSOLL AVE,DES MOINES,50312,"3500 INGERSOLL AVE
DES MOINES 50312
(41.586319, -93.664182)",77.0,Polk,1012210.0,SINGLE MALT SCOTCH,370,Pernod Ricard USA/Austin Nichols,5037,Glenlivet 12 Yr Malt Scotch,12,1000,$27.49,$41.24,12,$494.88,12.0,3.17
2205,S23488900036,01/15/2015,2579,Hy-Vee Food Store / Grinnell,320 WEST STREET SOUTH,GRINNELL,50112,"320 WEST STREET SOUTH
GRINNELL 50112
(41.7283, -92.727343)",79.0,Poweshiek,1011300.0,TENNESSEE WHISKIES,85,Brown-Forman Corporation,26586,Gentleman Jack,12,750,$19.45,$29.18,3,$87.54,2.25,0.59
2206,S10893900001,03/04/2013,4007,Brockmans,109 E MAIN ST,OSSIAN,52161,"109 E MAIN ST
OSSIAN 52161
(43.145526, -91.7643)",96.0,Winneshiek,1062310.0,SPICED RUM,260,Diageo Americas,43338,Captain Morgan Spiced Rum,6,1750,$17.50,$26.24,12,$314.88,21.0,5.55
2207,S10983600036,03/07/2013,2637,Hy-Vee #5 / Davenport,2351 W LOCUST,DAVENPORT,52804,"2351 W LOCUST
DAVENPORT 52804
(41.538207, -90.611972)",82.0,Scott,1031080.0,VODKA 80 PROOF,380,Phillips Beverage Company,37356,Phillips Vodka Ez Pack,12,750,$3.57,$5.35,12,$64.20,9.0,2.38
2208,S17411600029,02/17/2014,4892,Sara Mini Mart,1026 W RIVER DR,DAVENPORT,52802,"1026 W RIVER DR
DAVENPORT 52802
(41.520149, -90.58842)",82.0,Scott,1081300.0,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,80576,Arrow Peppermint Schnapps,12,750,$3.42,$5.13,3,$15.39,2.25,0.59
2209,S12628100016,06/05/2013,4186,H and A Mini Mart / Phillips 66,5901 FLEUR DR,DES MOINES,50321,"5901 FLEUR DR
DES MOINES 50321
(41.531145, -93.644946)",77.0,Polk,1011300.0,TENNESSEE WHISKIES,85,Brown-Forman Corporation,26826,Jack Daniels Old #7 Black Lbl,12,750,$14.04,$21.05,2,$42.10,1.5,0.4
2210,S28870600008,11/04/2015,4069,Fareway Stores #648 / Ottumwa,1325 ALBIA RD,OTTUMWA,52501,"1325 ALBIA RD
OTTUMWA 52501
(41.00934, -92.440218)",90.0,Wapello,1031080.0,VODKA 80 PROOF,421,"Sazerac Co., Inc.",36978,Nikolai Vodka,6,1750,$6.92,$10.38,150,$1557.00,262.5,69.35
2211,S17765500035,03/06/2014,2626,Hy-Vee Drugstore / University / DSM,4100 UNIVERSITY AVE,DES MOINES,50311,"4100 UNIVERSITY AVE
DES MOINES 50311
(41.600361, -93.673223)",77.0,Polk,1031200.0,VODKA FLAVORED,380,Phillips Beverage Company,41701,Uv Orange Vodka,12,750,$6.50,$9.74,12,$116.88,9.0,2.38
2212,S05475400047,05/10/2012,2509,Hy-Vee / Drugtown #1 / Cedar Rapids,1520 6TH ST SW,CEDAR RAPIDS,52404,"1520 6TH ST SW
CEDAR RAPIDS 52404
(41.96233, -91.677063)",57.0,Linn,1062300.0,FLAVORED RUM,260,Diageo Americas,43226,Captain Morgan Parrot Bay Passion Fruit,12,750,$7.49,$11.23,12,$134.76,9.0,2.38
2213,S14874100052,10/01/2013,2529,Hy-Vee Drugstore #4 / Cedar Rapids,4825 JOHNSON AVE NW,CEDAR RAPIDS,52405,"4825 JOHNSON AVE NW
CEDAR RAPIDS 52405
(41.968342, -91.733373)",57.0,Linn,1012100.0,CANADIAN WHISKIES,260,Diageo Americas,11290,Crown Royal Canadian Whisky Mini,10,300,$6.90,$10.35,3,$31.05,0.9,0.24
2214,S07884300036,09/24/2012,3757,Wal-Mart 3590 / Sioux City,3101 FLOYD BLVD,SIOUX CITY,51108,"3101 FLOYD BLVD
SIOUX CITY 51108
(42.529334, -96.373595)",97.0,Woodbury,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45278,Paramount White Rum,6,1750,$7.58,$11.37,6,$68.22,10.5,2.77
2215,S24688600001,03/24/2015,4986,218 Fuel Express & Chubby's Liquor,68 MONROE ST,FLOYD,50435,"68 MONROE ST
FLOYD 50435
(43.122246, -92.737285)",34.0,Floyd,1022100.0,TEQUILA,395,Proximo,89197,Jose Cuervo Especial Reposado Tequila,12,1000,$12.50,$18.75,12,$225.00,12.0,3.17
2216,S26017400003,06/03/2015,4135,Fareway Stores #925 / Altoona,620 SE 8TH ST,ALTOONA,50009,"620 SE 8TH ST
ALTOONA 50009
(41.644082, -93.458047)",77.0,Polk,1041100.0,AMERICAN DRY GINS,370,Pernod Ricard USA/Austin Nichols,32238,Seagrams Extra Dry Gin,6,1750,$11.99,$17.99,6,$107.94,10.5,2.77
2217,S13175800022,07/04/2013,4652,Brady Mart Food & Liquor,"3107, BRADY ST",DAVENPORT,52803,"3107, BRADY ST
DAVENPORT 52803
(41.552159, -90.569719)",82.0,Scott,1031080.0,VODKA 80 PROOF,300,Mccormick Distilling Company,36904,Mccormick Vodka Pet,24,375,$1.80,$2.69,72,$193.68,27.0,7.13
2218,S06019700002,06/12/2012,4117,Tobacco Shop / Arnolds Park,612 S HIGHWAY 71 UNIT 4,ARNOLDS PARK,51331,"612 S HIGHWAY 71 UNIT 4
ARNOLDS PARK 51331
(43.360706, -95.141004)",30.0,Dickinson,1081200.0,CREAM LIQUEURS,305,MHW Ltd,73050,Rumchata,6,750,$12.50,$18.75,6,$112.50,4.5,1.19
2219,S09189100084,11/28/2012,2602,Hy-Vee Food Store / Webster City,823  2ND ST,WEBSTER CITY,50595,"823 2ND ST
WEBSTER CITY 50595
(42.469466, -93.825486)",40.0,Hamilton,1062300.0,FLAVORED RUM,35,"Bacardi U.S.A., Inc.",43209,Bacardi Black Razz,12,750,$8.33,$12.50,6,$75.00,4.5,1.19
2220,S27054000021,07/30/2015,4902,Broadway Liquor,821 BROADWAY ST,WATERLOO,50703,"821 BROADWAY ST
WATERLOO 50703
(42.513772, -92.345144)",7.0,Black Hawk,1012100.0,CANADIAN WHISKIES,260,Diageo Americas,11294,Crown Royal Canadian Whisky,24,375,$7.75,$11.63,4,$46.52,1.5,0.4
